experiment_id,target,condition,seed,run_id,artifact_root,source_git_sha,manifest_sha256,predictions_sha256,metrics_sha256,model,prediction_variant,metric,value,metric_status,n_endpoints,stored_metric_match
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,hist_gradient_boosting,clipped,signed_error,0.46848689618778083,reconstructed,100,True
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,hist_gradient_boosting,clipped,nasa_score,384.8227758548457,reconstructed,100,True
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,mean,raw,rmse,43.24306023167234,reconstructed,100,PENDING
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,mean,raw,mae,35.909642686993806,reconstructed,100,PENDING
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,mean,raw,signed_error,11.962134349690334,reconstructed,100,PENDING
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,mean,raw,nasa_score,35823.76432364773,reconstructed,100,PENDING
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,mean,clipped,rmse,42.13910328552779,reconstructed,100,True
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,mean,clipped,mae,34.839642686993805,reconstructed,100,True
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,mean,clipped,signed_error,13.032134349690335,reconstructed,100,True
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,mean,clipped,nasa_score,35562.46288542401,reconstructed,100,True
