experiment_id,target,condition,seed,run_id,artifact_root,source_git_sha,manifest_sha256,predictions_sha256,metrics_sha256,model,alpha,metric,value,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_resamples,bootstrap_confidence_level,target_scale,n_endpoints,stored_metric_match,n_cal,requested_rank_min,requested_rank_max,effective_rank_min,effective_rank_max,finite_rank_attainable_fraction,unattainable_rank_fraction,quantile_regime,unattainable_rank_policy,n_distinct_quantiles
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,hist_gradient_boosting,0.1,normalized_interval_score,0.604199768303739,0.5533415706717308,0.6737839874499915,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,hist_gradient_boosting,0.05,coverage,0.96,0.92,0.99,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,hist_gradient_boosting,0.05,mean_width,71.73080476107296,71.73080476107296,71.73080476107296,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,hist_gradient_boosting,0.05,normalized_interval_score,0.6690601524498889,0.5848552759561401,0.7870478738612339,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,73,C02_319975dc35d2_seed_73,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,569404e36c7a8a6169e85db0470a213cb734c1c7afd0556f4b129a180a6493be,613fa44d33849f6b23715d72e4d09a88a67de273292866c9230aa77dc5588758,f701a1019e02448476409f9ecb8287c4ab5be7a0f14e3bddfda1047fba589e3a,mean,0.1,coverage,0.81,0.73,0.89,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
C02,FD001,primary,73,C02_319975dc35d2_seed_73,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,569404e36c7a8a6169e85db0470a213cb734c1c7afd0556f4b129a180a6493be,613fa44d33849f6b23715d72e4d09a88a67de273292866c9230aa77dc5588758,f701a1019e02448476409f9ecb8287c4ab5be7a0f14e3bddfda1047fba589e3a,mean,0.1,mean_width,121.0831841119974,121.0831841119974,121.0831841119974,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
C02,FD001,primary,73,C02_319975dc35d2_seed_73,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,569404e36c7a8a6169e85db0470a213cb734c1c7afd0556f4b129a180a6493be,613fa44d33849f6b23715d72e4d09a88a67de273292866c9230aa77dc5588758,f701a1019e02448476409f9ecb8287c4ab5be7a0f14e3bddfda1047fba589e3a,mean,0.1,normalized_interval_score,1.3174654728959792,1.1606654728959793,1.4887054728959792,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
C02,FD001,primary,73,C02_319975dc35d2_seed_73,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,569404e36c7a8a6169e85db0470a213cb734c1c7afd0556f4b129a180a6493be,613fa44d33849f6b23715d72e4d09a88a67de273292866c9230aa77dc5588758,f701a1019e02448476409f9ecb8287c4ab5be7a0f14e3bddfda1047fba589e3a,mean,0.05,coverage,0.88,0.81,0.94,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,73,C02_319975dc35d2_seed_73,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,569404e36c7a8a6169e85db0470a213cb734c1c7afd0556f4b129a180a6493be,613fa44d33849f6b23715d72e4d09a88a67de273292866c9230aa77dc5588758,f701a1019e02448476409f9ecb8287c4ab5be7a0f14e3bddfda1047fba589e3a,mean,0.05,mean_width,135.08318411199738,135.08318411199738,135.08318411199738,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,73,C02_319975dc35d2_seed_73,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,569404e36c7a8a6169e85db0470a213cb734c1c7afd0556f4b129a180a6493be,613fa44d33849f6b23715d72e4d09a88a67de273292866c9230aa77dc5588758,f701a1019e02448476409f9ecb8287c4ab5be7a0f14e3bddfda1047fba589e3a,mean,0.05,normalized_interval_score,1.3814654728959792,1.211865472895979,1.5766654728959792,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
